"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf","score","rank"
"Drew Brees","qb",15,1,0,0,5177,43,0,0,0,0,0,386.58,1
"Tom Brady","qb",23,4,0,0,4827,34,0,0,0,0,0,355.38,2
"Aaron Rodgers","qb",54,2,0,0,4295,39,0,0,0,0,0,345.2,3
"Peyton Manning","qb",23,0,0,0,4659,37,0,0,0,0,0,336.66,4
"Matt Ryan","qb",34,1,0,0,4719,32,0,0,0,0,0,326.16,5
"Tony Romo","qb",30,1,0,0,4903,28,0,0,0,0,0,317.12,6
"Adrian Peterson","rb",2097,12,217,1,0,0,0,0,0,0,0,309.4,7
"Matthew Stafford","qb",35,4,0,0,4967,20,0,0,0,0,0,306.18,8
"Andrew Luck","qb",62,5,0,0,4374,23,0,0,0,0,0,303.16,9
"Cam Newton","qb",127,8,0,0,3869,19,0,0,0,0,0,291.46,10
"Andy Dalton","qb",47,4,0,0,3669,27,0,0,0,0,0,283.46,11
"Josh Freeman","qb",39,0,0,0,4065,27,0,0,0,0,0,274.5,12
"Arian Foster","rb",1424,15,217,2,0,0,0,0,0,0,0,266.1,13
"Doug Martin","rb",1454,11,472,1,0,0,0,0,0,0,0,264.6,14
"Eli Manning","qb",20,0,0,0,3948,26,0,0,0,0,0,263.92,15
"Russell Wilson","qb",94,4,0,0,3118,26,0,0,0,0,0,262.12,16
"Robert Griffin III","qb",120,7,0,0,3200,20,0,0,0,0,0,262,17
"Joe Flacco","qb",32,3,0,0,3817,22,0,0,0,0,0,261.88,18
"Carson Palmer","qb",18,1,0,0,4018,22,0,0,0,0,0,256.52,19
"Philip Rivers","qb",27,0,0,0,3606,26,0,0,0,0,0,250.94,20
"Marshawn Lynch","rb",1590,11,196,1,0,0,0,0,0,0,0,250.6,21
"Matt Schaub","qb",21,0,0,0,4008,22,0,0,0,0,0,250.42,22
"Alfred Morris","rb",1613,13,77,0,0,0,0,0,0,0,0,247,23
"Ryan Fitzpatrick","qb",48,1,0,0,3400,24,0,0,0,0,0,242.8,24
"Sam Bradford","qb",37,1,0,0,3702,21,0,0,0,0,0,241.78,25
"Ben Roethlisberger","qb",26,0,0,0,3265,26,0,0,0,0,0,237.2,26
"Calvin Johnson","wr",0,0,1964,5,0,0,0,0,0,0,0,226.4,27
"Ray Rice","rb",1143,9,478,1,0,0,0,0,0,0,0,222.1,28
"C.J. Spiller","rb",1244,6,459,2,0,0,0,0,0,0,0,218.3,29
"Brandon Marshall","wr",0,0,1508,11,0,0,0,0,0,0,0,216.8,30
"Jamaal Charles","rb",1509,5,236,1,0,0,0,0,0,0,0,210.5,31
"Dez Bryant","wr",0,0,1382,12,0,0,0,0,0,0,0,210.2,32
"Christian Ponder","qb",60,2,0,0,2935,18,0,0,0,0,0,207.4,33
"Trent Richardson","rb",950,11,367,1,0,0,0,0,0,0,0,203.7,34
"Stevan Ridley","rb",1263,12,51,0,0,0,0,0,0,0,0,203.4,35
"Demaryius Thomas","wr",0,0,1434,10,0,0,0,0,0,0,0,203.4,36
"Jay Cutler","qb",41,0,0,0,3033,19,0,0,0,0,0,201.42,37
"A.J. Green","wr",0,0,1350,11,0,0,0,0,0,0,0,201,38
"Frank Gore","rb",1214,8,234,1,0,0,0,0,0,0,0,198.8,39
"Ryan Tannehill","qb",49,2,0,0,3294,12,0,0,0,0,0,196.66,40
"Brandon Weeden","qb",27,0,0,0,3385,14,0,0,0,0,0,194.1,41
"Vincent Jackson","wr",0,0,1384,8,0,0,0,0,0,0,0,186.4,42
"Eric Decker","wr",0,0,1064,13,0,0,0,0,0,0,0,184.4,43
"Andre Johnson","wr",0,0,1598,4,0,0,0,0,0,0,0,183.8,44
"Chris Johnson","rb",1243,6,232,0,0,0,0,0,0,0,0,183.5,45
"Julio Jones","wr",0,0,1198,10,0,0,0,0,0,0,0,179.8,46
"Matt Forte","rb",1094,5,340,1,0,0,0,0,0,0,0,179.4,47
"Roddy White","wr",0,0,1351,7,0,0,0,0,0,0,0,177.1,48
"Reggie Bush","rb",986,6,292,2,0,0,0,0,0,0,0,175.8,49
"Marques Colston","wr",0,0,1154,10,0,0,0,0,0,0,0,175.4,50
"Wes Welker","wr",0,0,1354,6,0,0,0,0,0,0,0,171.4,51
